Nucleic Acid Extraction	Library Preparation	Sequencing	Delivery	Alignment	Variant Calling	Post-Processing
31.15	48.0	38.17	27.37	47.87	36.25000000000001	0.6599999999999999
31.28	72.53	40.15	13.63	10.33	17.63	0.23200000000000004
32.2	67.32	41.62	37.42	9.27	22.25	0.318
32.2	67.32	41.62	37.42	15.47	29.009999999999998	0.31000000000000005
32.2	67.32	41.62	37.42	29.09	57.959999999999994	1.0
32.2	67.32	41.62	37.42	46.75	40.540000000000006	1.0639999999999998
31.15	48.0	38.17	27.37	59.15	36.77	1.1540000000000001
31.15	48.0	38.17	27.37	18.68	27.409999999999997	0.30200000000000005
31.15	48.0	38.17	27.37	49.03	34.879999999999995	0.35750000000000004
45.53	56.15	39.15	13.28	20.98	27.55	0.542
45.53	56.15	39.15	13.28	10.62	47.31	0.34750000000000003
45.53	56.15	39.15	13.28	55.73	26.1	0.35800000000000004
45.53	56.15	39.15	13.28	54.2	31.799999999999997	0.43599999999999994
31.28	72.53	40.15	13.63	12.95	47.33	0.43
31.28	72.53	40.15	13.63	10.36	99.2	1.332
31.28	72.53	40.15	13.63	36.88	93.17	0.28800000000000003
