Individual ID	Coverage	Purity	Mutation Type	Original Events	Events 100X	Sensitivity 100X	Events 80X	Sensitivity 80X	Events 60X	Sensitivity 60X	Events 30X	Sensitivity 30X
IID_H133673	98	0.78842	SNVs	8030			7715	0.960772104607721	7601	0.9465753424657535	7286	0.9073474470734745
IID_H133673	98	0.78842	Indels	1148			1106	0.9634146341463414	1068	0.9303135888501742	980	0.8536585365853658
IID_H133673	98	0.78842	SVs	32			29	0.90625	29	0.90625	24	0.75
IID_H134753	105	0.52988	SNVs	5377			5084	0.9455086479449507	4779	0.8887855681606844	4080	0.7587874279337921
IID_H134753	105	0.52988	Indels	701			649	0.9258202567760342	606	0.8644793152639088	509	0.7261055634807418
IID_H134753	105	0.52988	SVs	90			86	0.9555555555555556	80	0.8888888888888888	59	0.6555555555555556
IID_H134754	67	0.83839422499585	SNVs	1338					1273	0.9514200298953662	1159	0.8662182361733931
IID_H134754	67	0.83839422499585	Indels	822					781	0.9501216545012166	699	0.8503649635036497
IID_H134754	67	0.83839422499585	SVs	17					16	0.9411764705882353	16	0.9411764705882353
IID_H134755	81	0.27	SNVs	847					598	0.706021251475797	320	0.3778040141676505
IID_H134755	81	0.27	Indels	31					24	0.7741935483870968	11	0.3548387096774194
IID_H134755	81	0.27	SVs	1					0	0.0	0	0.0
IID_H134756	91	0.559381978451705	SNVs	590			556	0.9423728813559322	521	0.8830508474576271	476	0.8067796610169492
IID_H134756	91	0.559381978451705	Indels	77			73	0.948051948051948	70	0.9090909090909091	63	0.8181818181818182
IID_H134756	91	0.559381978451705	SVs	14			14	1.0	14	1.0	12	0.8571428571428571
IID_H134757	71	0.54643	SNVs	5756					5200	0.9034051424600417	3722	0.6466296038915914
IID_H134757	71	0.54643	Indels	521					472	0.9059500959692899	352	0.6756238003838771
IID_H134757	71	0.54643	SVs	315					305	0.9682539682539683	255	0.8095238095238095
IID_H134202	67	0.88722	SNVs	3058					2952	0.9653368214519293	2769	0.9054937867887508
IID_H134202	67	0.88722	Indels	2291					2208	0.9637712789175032	2051	0.8952422522915757
IID_H134202	67	0.88722	SVs	26					24	0.9230769230769231	21	0.8076923076923077
IID_H135022	114	0.8449	SNVs	7947	7589.0	0.9549515540455518	7176	0.9029822574556436	6601	0.8306279099031081	5311	0.6683025040895936
IID_H135022	114	0.8449	Indels	681	644.0	0.9456681350954479	614	0.9016152716593245	576	0.8458149779735683	432	0.6343612334801763
IID_H135022	114	0.8449	SVs	848	815.0	0.9610849056603774	758	0.8938679245283019	717	0.8455188679245284	571	0.6733490566037735
IID_H135062	92	0.61183	SNVs	6096			5881	0.964730971128609	5630	0.9235564304461942	4830	0.7923228346456693
IID_H135062	92	0.61183	Indels	3276			3032	0.9255189255189256	2839	0.8666056166056166	2267	0.692002442002442
IID_H135062	92	0.61183	SVs	151			145	0.9602649006622517	120	0.7947019867549668	62	0.4105960264900662
IID_H135066	77	0.6	SNVs	3972					3421	0.8612789526686808	2659	0.669436052366566
IID_H135066	77	0.6	Indels	234					219	0.9358974358974359	194	0.8290598290598291
IID_H135066	77	0.6	SVs	2					2	1.0	2	1.0
IID_H135073	104	0.66844	SNVs	5729			5503	0.9605515796823181	5369	0.9371618083435155	5131	0.895618781637284
