system_id	Nucleic Acid Extraction	Library Preparation	Sequencing	Delivery	Alignment	Variant Calling	Post-Processing	Total
IID_H158273_T12_01_WG02	31.15	48	38.17	27.37	47.87	36.25	0.66	
IID_H198661_T02_01_WG01	31.28	72.53	40.15	13.63	10.33	12.63	0.232	
IID_H200642_T01_01_WG01	32.2	67.32	41.62	37.42	9.27	19.25	0.318	
IID_H200643_T01_01_WG01	32.2	67.32	41.62	37.42	15.47	21.53	0.31	
IID_H200644_T01_01_WG01	32.2	67.32	41.62	37.42	29.09	57.96	1	
IID_H200645_T01_01_WG01	32.2	67.32	41.62	37.42	46.75	40.54	1.064	
IID_H200646_T01_01_WG01	31.15	48	38.17	27.37	59.15	36.77	1.154	
IID_H200647_T01_01_WG02	31.15	48	38.17	27.37	18.68	25.41	0.302	
IID_H200648_T01_01_WG01	31.15	48	38.17	27.37	49.03	34.88	0.3575	
IID_H201277_T01_01_WG01	45.53	56.15	39.15	13.28	20.98	26.55	0.542	
IID_H201278_T01_01_WG01	45.53	56.15	39.15	13.28	10.62	47.31	0.3475	
IID_H201279_T01_01_WG01	45.53	56.15	39.15	13.28	55.73	16.11	0.358	
IID_H201280_T01_01_WG01	45.53	56.15	39.15	13.28	54.2	21.33	0.436	
IID_H201471_T01_01_WG01	31.28	72.53	40.15	13.63	12.95	45.33	0.43	
IID_H201472_T01_01_WG01	31.28	72.53	40.15	13.63	10.36	99.2	1.332	
IID_H201473_T02_01_WG01	31.28	72.53	40.15	13.63	36.88	32.76	0.288	
