	EXTRACTION	PREPARATION	SEQUENCING	ALIGNMENT	QC	CALLING	POST
IID_H198664_T01_01_WG01	43.97	319.04	40.66	1.56	0.42	169.16	2.18
IID_H198663_T01_01_WG01	24.43	171.6	40.66	1.2	0.36	24.98	0.92
IID_H198662_T01_01_WG01	44.8	173.08	43.23	1.32	0.37	59.25	0.81
IID_H198333_T01_01_WG01	27.96	164.5	41.98	24.27	0.46	36.25	1.6
IID_H197217_T01_01_WG01	27.39	166.45	40.74	2.54	0.42	23.35	0.9
IID_H196899_T01_01_WG01	27.97	166.25	20.35	21.96	0.29	95.61	1.52
IID_H196898_T01_01_WG01	30.09	165.22	45.22	21.08	0.63	21.37	9.35
IID_H196848_T01_01_WG01	23.51	172.68	208.24	14.56	0.19	77.49	0.65
IID_H196807_T01_01_WG01	23.69	172.68	40.58	19.08	0.36	23.43	1.0
IID_H196429_T01_01_WG01	26.93	144.15	24.34	2.24	0.3	277.33	1.28
IID_H196388_T01_01_WG01	21.98	191.48	36.31	3.37	0.63	276.09	1.72
IID_H196232_T01_01_WG01	25.02	336.32	19.57	19.51	0.55	76.87	1.57
IID_H196231_T01_01_WG01	25.0	336.33	19.57	18.56	0.93	104.75	1.42
IID_H196227_T01_01_WG01	25.02	170.47	41.73	18.92	0.4	200.1	0.93
IID_H196095_T01_01_WG01	30.24	189.59	41.61	56.24	0.48	43.12	1.01
IID_H196094_T01_01_WG01	25.23	168.49	24.26	57.37	0.4	42.99	0.73
IID_H196046_T01_01_WG01	30.38	189.46	41.61	18.95	0.29	53.81	1.2
IID_H195992_T02_01_WG01	28.03	166.48	42.93	28.77	0.36	32.39	1.36
IID_H195991_T01_01_WG01	23.05	172.04	211.24	152.29	1.31	34.66	1.71
IID_H195990_T01_01_WG01	24.43	170.68	401.78	24.94	0.46	73.01	1.27
IID_H195989_T01_01_WG01	25.59	172.68	41.79	77.69	0.58	261.82	4.08
IID_H195923_T01_01_WG01	24.42	166.59	31.76	25.64	0.26	117.68	1.77
IID_H195922_T01_01_WG01	24.43	166.59	31.76	33.72	0.36	110.06	4.0
IID_H195921_T01_01_WG01	28.18	167.96	40.63	29.17	0.4	102.61	1.15
IID_H195920_T02_01_WG01	27.18	165.74	19.57	14.51	0.74	86.75	1.33
IID_H195918_T01_01_WG01	25.94	167.96	40.63	26.19	0.38	192.03	0.96
IID_H195916_T01_01_WG01	28.43	166.58	209.99	22.43	0.3	122.65	0.95
IID_H159446_T01_01_WG01	24.95	172.16	41.13	40.72	0.55	246.83	1.29
IID_H159371_T01_01_WG01	24.94	172.16	41.13	3.03	0.35	112.75	0.92
IID_H159370_T01_01_WG01	24.97	172.16	41.13	2.75	0.27	112.75	1.32
IID_H159369_T01_01_WG01	26.25	319.62	41.13	2.63	0.41	135.76	1.19
IID_H159153_T01_01_WG01	29.02	167.24	44.25	3.66	0.52	56.2	2.41
IID_H159103_T01_01_WG01	29.49	163.45	33.84	15.37	0.52	44.04	1.11
IID_H158919_T01_01_WG01	24.49	172.58	40.24	111.39	0.54	60.88	2.13
IID_H158917_T01_01_WG01	28.4	170.3	42.77	40.39	0.48	121.59	1.41
IID_H158916_T01_01_WG01	26.57	146.1	23.96	37.34	0.31	118.21	2.04
IID_H158880_T01_01_WG01	26.96	167.64	39.9	98.82	0.59	132.59	1.02
IID_H158878_T01_01_WG01	26.97	167.64	39.9	90.5	0.32	75.98	0.65
IID_H158493_T01_01_WG01	27.24	165.95	23.72	33.86	0.33	67.17	1.34
IID_H158273_T01_01_WG01	27.92	167.01	39.98	37.88	0.5	58.59	1.56
IID_H158271_T01_01_WG01	27.93	167.01	39.98	58.25	0.38	38.07	0.94
IID_H158223_T01_01_WG01	28.1	74.09	123.78	18.91	0.29	34.21	1.44
IID_H158186_T01_01_WG01	28.13	74.09	123.78	20.73	0.46	57.46	1.37
IID_H158184_T01_01_WG01	25.08	167.03	41.54	16.97	0.32	74.25	1.08
IID_H158183_T01_01_WG01	25.16	167.03	41.54	13.38	0.32	67.77	1.2
IID_H158182_T01_01_WG01	25.22	167.03	41.54	41.54	0.41	52.1	1.41
IID_H158180_T01_01_WG01	24.98	167.03	41.54	18.69	0.38	70.18	1.06
IID_H156418_T01_01_WG01	25.58	144.65	18.99	50.16	0.39	107.41	0.91
IID_H156416_T01_01_WG01	25.58	144.76	40.59	27.37	0.39	30.03	0.97
IID_H156409_T01_01_WG01	25.58	144.76	40.59	25.78	0.28	30.14	3.81
IID_H136648_T01_01_WG01	25.27	169.96	40.54	108.59	0.79	265.35	1.51
IID_H136641_T01_01_WG01	25.93	165.01	40.7	92.13	0.34	357.74	2.39
IID_H136640_T01_01_WG01	25.93	165.01	40.7	4.07	0.31	456.71	1.96
IID_H136633_T01_01_WG01	25.92	165.01	40.7	109.63	0.44	98.01	1.94
IID_H136632_T01_01_WG01	26.0	165.01	40.7	84.73	0.41	357.74	2.91
IID_H136574_T05_01_WG01	26.09	168.17	210.08	19.28	0.3	142.65	1.38
IID_H136573_T05_01_WG01	24.36	193.78	44.6	2.84	0.66	99.16	0.93
IID_H136433_T07_01_WG01	25.56	144.76	186.98	18.78	0.25	120.65	2.59
IID_H134738_T07_01_WG01	44.13	144.01	32.43	67.03	0.65	65.15	1.51
